drug,cell_line,n_samples,pearson_top50,spearman_top50,mse_all
AG-490 (Tyrphostin B42),A549,349,0.44037583470344543,0.39774309723889556,0.03237536922097206
AG-490 (Tyrphostin B42),K562,808,-0.5298300981521606,-0.4635294117647058,0.03948820382356644
AG-490 (Tyrphostin B42),MCF7,1158,0.3892529606819153,0.2998799519807923,0.03828771039843559
Celecoxib,A549,494,0.6699147820472717,0.6630972388955582,0.03158677741885185
Celecoxib,K562,849,0.3250691294670105,0.3329171668667467,0.03668667748570442
Celecoxib,MCF7,984,0.5278908014297485,0.1901080432172869,0.037666331976652145
Fulvestrant,A549,562,0.38793087005615234,0.5005042016806722,0.03196660429239273
Fulvestrant,K562,866,-0.09117011725902557,-0.20153661464585834,0.03707370162010193
Fulvestrant,MCF7,1251,0.11092435568571091,0.16773109243697476,0.042612623423337936
Ramelteon,A549,618,-0.021937567740678787,-0.027418967587034812,0.035624973475933075
Ramelteon,K562,963,-0.15787486732006073,-0.25541416566626646,0.03959459066390991
Ramelteon,MCF7,1095,-0.05136658996343613,0.09896758703481391,0.03932582214474678
SL-327,A549,465,0.5058553814888,0.45123649459783916,0.039539635181427
SL-327,K562,849,-0.19299399852752686,-0.23831932773109243,0.043485499918460846
SL-327,MCF7,1173,0.03294718265533447,0.03010804321728691,0.04045794531702995
SRT3025 HCl,A549,1711,0.11492236703634262,0.0902280912364946,0.03343787044286728
SRT3025 HCl,K562,775,0.2382494956254959,0.33685474189675874,0.04073896259069443
SRT3025 HCl,MCF7,1357,0.2343195080757141,0.2512845138055222,0.03790578618645668
Thalidomide,A549,429,0.6361750364303589,0.7319567827130853,0.029444918036460876
Thalidomide,K562,863,0.1193188801407814,0.013493397358943579,0.03605923056602478
Thalidomide,MCF7,1247,-0.24354888498783112,-0.31716686674669864,0.03917025402188301
Tofacitinib (CP-690550) Citrate,A549,381,0.3626950979232788,0.428859543817527,0.03232266753911972
Tofacitinib (CP-690550) Citrate,K562,864,-0.20724394917488098,-0.24792316926770705,0.038829632103443146
Tofacitinib (CP-690550) Citrate,MCF7,1321,0.4363263249397278,0.5054981992797118,0.038478463888168335
Zileuton,A549,387,0.28795453906059265,0.3063145258103241,0.031772151589393616
Zileuton,K562,858,-0.40930068492889404,-0.3123649459783914,0.04141330346465111
Zileuton,MCF7,1133,-0.19032150506973267,-0.1524609843937575,0.03919799253344536
