selection_rank,config_id,split,conditional_accuracy_drug_macro,pair_own_spearman_top50_drug_macro,selected_epoch
1,biolord_02,validation,0.6739130434782609,0.40604984062169897,440
2,biolord_04,validation,0.6702898550724639,0.409774804742751,500
3,biolord_03,validation,0.6654589371980676,0.3997694018225148,480
4,biolord_01,validation,0.6606280193236714,0.3987170601115269,420
5,biolord_05,validation,0.6491545893719807,0.37957477992390604,500
6,biolord_06,validation,0.640096618357488,0.3681859464088036,500
