config,rho50,inter_drug_r,auc,gap
loss-only,0.09212702613396244,0.9910434684387572,0.5694444444444444,0.035795121819299475
drug-spec x1,0.10284605950524943,0.9869174191374656,0.5509259259259259,0.036352969317595595
drug-spec x3,0.07613025305067928,0.9987019707693796,0.5138888888888888,0.00987739414544918
drug-spec x5,0.06218276922521148,0.9950311318889846,0.5370370370370371,0.027018137341720698
low recon,0.061798912348180385,0.9932195088049026,0.5787037037037037,0.031247158352638936
norm-only,0.09473631046425196,0.9923575004974826,0.5833333333333334,0.033052362948572174
recovery base,0.06977643636169041,0.9917742745299984,0.5555555555555556,0.032530919445676085
