score,kind
0.12555961366753807,on
0.3385524303944754,on
0.29139941833220895,on
-0.13891909678647776,on
-0.09366430538204919,on
0.16703064958829078,on
0.3404126853505774,on
-0.09848612626539885,on
0.004150036559834068,on
0.09661315874614457,on
-0.25588279300987266,on
0.33359983646230307,on
-0.14884980163847758,on
0.13357106605496982,on
0.12501902502742424,on
-0.03036187109238683,on
0.35988705020178907,on
0.1539417389839223,on
0.0015194303642724054,on
0.04717070132669669,on
-0.13247366350899067,on
0.016813125125478473,on
0.15649241641050432,on
-0.1784504226086795,on
0.13505795374944093,on
-0.0008172879407943622,on
0.13507881365289753,on
0.04171063201560204,off
0.12719769300301406,off
0.09519638614435058,off
-0.056828299461193894,off
0.11305040011122164,off
-0.18489486141463599,off
0.21075079843503128,off
0.004536813014434999,off
-0.010259086962234074,off
0.0850201050496783,off
0.13866258850654137,off
0.07350882057997615,off
0.11765884201509416,off
0.06750167243993654,off
0.08926096591743186,off
0.09643219471967149,off
0.06565779071059491,off
0.0748464407127068,off
-0.0008115602755438909,off
-0.04793404977947177,off
0.017076689448058006,off
-0.009260839631581072,off
-0.018753621784970965,off
-0.0022087075880888665,off
-0.028789979288854024,off
-0.04399964246369422,off
-0.00869922744068898,off
