score,kind
0.2806000138398061,on
0.508740337377796,on
0.40755814453840156,on
0.3312091986821451,on
0.19781212566249645,on
-0.15951187240628678,on
0.4504778398876365,on
0.21919759245323553,on
0.34121753060520077,on
-0.061356169621904766,on
0.29305537196982345,on
0.16559600590525522,on
0.022517117286871818,on
-0.12062576392862014,on
0.2713061107123123,on
-0.27768284241738717,on
-0.13882181100617452,on
0.17229051151802538,on
0.11383011038310262,on
-0.07699794686669705,on
-0.02712550036113991,on
-0.00392297014280165,on
-0.0060543481911490326,on
0.0925889643801596,on
-0.049993022065008386,on
-0.025786270427178667,on
-0.1432748511261864,on
0.2087362704377289,off
0.25925253890477595,off
0.2520930442515449,off
0.2055744069412239,off
0.26808219219221313,off
0.1367933475553348,off
0.2807699602711066,off
0.22637792537377027,off
0.2457423065128545,off
0.027335103818242397,off
-0.012394870673789006,off
0.016964752570313775,off
0.014568182493005597,off
0.03791562215733651,off
-0.004455920935251545,off
0.0518470371172859,off
0.03875195432143197,off
-0.0028613935589872283,off
-0.061236007387066145,off
-0.05060266838589274,off
-0.03127692377748147,off
-0.0547390644566232,off
-0.05455219010130474,off
-0.06813253266032882,off
-0.03835533736762945,off
-0.06977007755520657,off
-0.027114222991955136,off
