score,kind
0.06547329975979053,on
0.3145278585736625,on
0.26946616792759664,on
0.08497959248098699,on
-0.036985105567587176,on
0.12038051109931182,on
0.3247540478985574,on
0.008528077941158965,on
0.1220648776390726,on
-0.10373671832443616,on
0.14650518384173108,on
0.15695382586923667,on
-0.05940382876101496,on
-0.08332166863594492,on
0.185122502834683,on
-0.2947535495837745,on
-0.07227289646782047,on
0.11286271630127331,on
0.010640093136730519,on
-0.025266019529660393,on
-0.12895552195441534,on
0.1286644173320486,on
0.19003997595556163,on
-0.0662741081735046,on
0.19813500910485674,on
-0.03647320459959633,on
0.13691509730236603,on
0.041942921159273096,off
0.15375823537505545,off
0.12914126081334823,off
0.02676850281307254,off
0.13589397449641624,off
-0.045138230994815946,off
0.1863884005599311,off
0.0962132582932154,off
0.09338422301660311,off
-0.006866428975723305,off
-0.027948396159091025,off
-0.01911512991050587,off
-0.00907711751077287,off
-0.003279612338426033,off
-0.030232690413491893,off
0.023807300489419272,off
-0.00866946671194506,off
-0.026042804869525604,off
0.018573643970884568,off
-0.0006205488621247165,off
0.06179111333865077,off
-0.008348425655444105,off
0.003719783210795042,off
0.02711159092859501,off
-0.003903204542886965,off
0.003986439546375429,off
0.011658766812737142,off
