score,kind
0.22668821177331808,on
0.2966386051963491,on
0.3807960750694343,on
0.1907557666099844,on
0.07754121507865397,on
-0.10958769243572564,on
0.39036023241543494,on
0.0860776753802831,on
0.26918764321960365,on
-0.02955314967996489,on
0.2198987087151862,on
0.2510748319181805,on
-0.09332233278939878,on
-0.048687943014007286,on
0.21357127246371768,on
-0.10905593451493194,on
0.022009942024789408,on
0.12030213044177601,on
0.05814025462870225,on
-0.06577682580234333,on
-0.06697174105808085,on
0.17728472338823115,on
0.11194699548117236,on
0.12188104908489644,on
0.02299591477167516,on
-0.15488402787353991,on
-0.07188189487641004,on
0.13664139711869455,off
0.15880350756385664,off
0.17827579252806025,off
0.09828405363260112,off
0.18600962526896012,off
0.08600181479806676,off
0.2458004747121372,off
0.1708351133838515,off
0.1613572159838776,off
0.039089535225000305,off
0.006166928082474005,off
0.015178694382135725,off
0.04730720361974307,off
0.05096109538253258,off
0.009716808240398056,off
0.05287687427715519,off
0.04182078310391285,off
0.01902371015277635,off
-0.02894865754082293,off
-0.03013967270720495,off
0.014096847262841942,off
-0.03700412323558578,off
-0.03900910852441811,off
-0.027243701495038783,off
-0.02165682141038469,off
-0.01976921609357981,off
0.006485242783858959,off
