score,kind
0.1912245389741249,on
0.41844319575361333,on
0.33206305754881177,on
-0.051789676583011854,on
-0.060677324794973515,on
0.1819047551126324,on
0.40291195387656953,on
0.04172991705513717,on
0.08541838917927903,on
0.056148825714817885,on
-0.28955707294096017,on
0.34005716646163486,on
-0.1173139704433135,on
0.21808590518891494,on
0.09289050610714278,on
0.0520866252183763,on
0.43137633970040506,on
0.13950622126917145,on
0.014299384216484683,on
-0.014983139184374113,on
-0.07091452601556746,on
-0.004416823122288786,on
0.12491490094825747,on
-0.19242170098949915,on
0.18346882378876178,on
-0.010669142811925722,on
0.06409325330658161,on
0.10918491788218354,off
0.19070833985700764,off
0.13476008595709543,off
0.004087282045465031,off
0.18657515354058424,off
-0.1494655736036114,off
0.2603429868691858,off
0.060789271348697396,off
0.07344335610502525,off
0.10986232352952406,off
0.15475856868119753,off
0.09116970300756302,off
0.13579118093342724,off
0.08541437959774578,off
0.1176659058494087,off
0.11481052059796255,off
0.07536996666911314,off
0.09750113036518171,off
-0.013906320875255783,off
-0.03990137056040277,off
0.011943289165743191,off
-0.02896548013419125,off
-0.028635886980471578,off
0.011167400870028224,off
-0.030704951133212886,off
-0.04948914514507419,off
-0.01881045151656537,off
